epoch,restoration_rate,cosine_similarity,val_loss,codebook_utilization,perplexity,early_stop_patience
1,94.41,0.9441,-,100.00,125.0,0
2,94.51,0.9451,-,100.00,125.1,0
3,94.57,0.9457,-,100.00,125.0,0
4,94.60,0.9460,-,100.00,125.0,0
5,94.62,0.9462,-,100.00,124.9,0
6,94.64,0.9464,-,100.00,124.9,0
7,94.65,0.9465,-,100.00,124.9,0
8,94.66,0.9466,-,100.00,124.8,0
9,94.67,0.9467,-,100.00,124.8,0
10,94.68,0.9468,-,100.00,124.8,0
11,94.69,0.9469,-,100.00,124.8,0
12,94.69,0.9469,-,100.00,124.8,0
13,94.70,0.9470,-,100.00,124.9,0
14,94.70,0.9470,-,100.00,124.9,0
15,94.70,0.9470,-,100.00,124.9,0
16,94.70,0.9470,-,100.00,124.9,0
17,94.71,0.9471,-,100.00,124.9,0
18,94.71,0.9471,-,100.00,124.9,0
19,94.71,0.9471,-,100.00,124.9,0
20,94.71,0.9471,-,100.00,124.9,0
21,94.71,0.9471,-,100.00,124.9,0
22,94.72,0.9472,0.0999,100.00,125.0,0
23,94.72,0.9472,-,100.00,125.0,1
24,94.72,0.9472,-,100.00,125.0,2
25,94.72,0.9472,-,100.00,125.0,3
26,94.72,0.9472,-,100.00,125.0,4
27,94.72,0.9472,-,100.00,125.0,5
28,94.73,0.9473,-,100.00,125.0,6
29,94.73,0.9473,-,100.00,125.0,7
30,94.73,0.9473,-,100.00,125.0,8
31,94.73,0.9473,-,100.00,125.0,9
32,94.73,0.9473,-,100.00,125.0,10
